function:(p1*x)^0.35076971,average_MSE:0.05433583355654934
name,p1,MSE
job_00422,3.447516898241319,0.011086147742397438
job_00423,3.5839745626455275,0.023066157232145734
job_00424,3.196064149910717,0.03280024046440038
job_00427,3.0301529852841864,0.014316146149780343
job_00428,12.195121025145811,0.8317515663011913
job_00429,3.9117822411320486,0.018380202967376417
job_00430,2.9335117060639204,0.01480093722335247
job_00431,12.295646610223166,0.8628595325627769
job_00442,3.1572049528655914,0.0055904231985621404
job_00443,3.1996716745453746,0.03663818869365559
job_00444,3.7604262962376125,0.03337995531743042
job_00445,3.3712305791783375,0.020121666292528012
job_00446,3.2056619053252224,0.14802399544670547
job_00447,3.4303756570723745,0.013556379613012811
job_00448,3.532476939454595,0.06672392423642091
job_00450,3.770246161001641,0.06082628708691983
job_00457,3.7734427792412726,0.008220580056197517
job_00458,5.674614112290605,0.38269169568459177
job_00460,3.2737852669442975,0.005270143259265143
job_00466,3.988381613546275,0.007779545394440347
job_00467,4.951396131297681,0.030282805562064384
job_00468,3.1208736359718237,0.02500077365243832
job_00474,4.03406697635146,0.03659760182377366
job_00476,2.766217504274122,0.017933198043312573
job_00478,3.331723498587309,0.006268984797431583
job_00479,2.9182959093924694,0.022352915106632083
job_00481,3.660705488950698,0.006833033578902847
job_00482,3.446832083709157,0.014577794028929562
job_00483,3.345910513528652,0.007867803989176211
job_00484,2.778495772119942,0.018733122149003065
job_00485,3.3425312204083735,0.015951014867342555
job_00486,3.775402105207822,0.007443796472539711
job_00487,3.4400684889112747,0.016096084913653545
job_00489,4.038228004751298,0.06692125468487267
job_00490,3.2104634345445096,0.010873843074695036
job_00492,3.480660862164091,0.008487474654030174
job_00494,3.1964771904039813,0.009322847387789181
job_00496,4.593865112478323,0.1447096921909281
job_00498,3.250268615226058,0.01373791836755437
job_00501,3.9026856175562923,0.007653561645203095
job_00502,3.240083016668155,0.00868347473032672
job_00511,3.3884103317178798,0.09905410762267047
job_00512,2.8321580771906163,0.014537900574923419
job_00513,3.966392045068823,0.04174148658502001
job_00514,2.962472851361386,0.006715001819988819
job_00515,2.7325330385968156,0.01820339024305698
job_00517,3.9263434767564354,0.05654772886520466
job_00518,4.470845736232409,0.23606741932513484
job_00519,3.1320151547590678,0.02164545758876696
job_00520,3.0537876999066405,0.02446725396989858
job_00521,2.9014615589082813,0.0191691514583947
job_00522,3.799527328218428,0.00651716853309032
job_00523,4.728370900407118,0.12720066279856818
job_00526,3.5372341196966763,0.023261903527683942
job_00531,3.4530903642959223,0.011604640497106196
job_00532,3.8309414255358987,0.016062226928140553
job_00533,3.2053265647665503,0.01302036408028403
job_00534,2.9401431521217507,0.013862409586490038
job_00536,3.1643948465653784,0.02838577275061839
job_00537,3.1133693546885524,0.005883587441631911
job_00538,3.7503093316026437,0.014114757721192006
job_00539,3.2305003206016814,0.021935327307424726
job_00541,3.4114896920968576,0.020134789389127203
job_00542,3.7889397350990355,0.01861391352382037
job_00543,3.0014662193178765,0.008343525837777007
job_00544,3.1237184657360113,0.009026895917170001
job_00545,3.297178969394223,0.010182961819360932
job_00546,5.3526337441109515,0.3562356145169995
job_00547,4.209581894325589,0.23568751238086597
job_00548,3.5378510018485994,0.005992020743920078
job_00553,4.200206281790307,0.009435852377581539
job_00556,2.7395199665156906,0.018492394534708627
job_00558,3.369454713690595,0.013282840382229844
job_00559,3.6380050062262246,0.10268225884189623
job_00560,3.8997582187579174,0.0025537924776933354
job_00561,3.386754081064908,0.004810488062352858
job_00564,3.265860599828353,0.015490691162591287
job_00566,3.3257057424263112,0.010825827708383457
job_00568,3.6087458073491567,0.04488901484826994
job_00569,3.2429616946069557,0.005371172833481675
job_00573,3.7517206483753482,0.008907976456216021
job_00574,3.0739945807488773,0.016608689619164313
job_00575,2.9266855385202306,0.008468461596533281
job_00576,3.805675990151501,0.029128824785780803
job_00578,2.9996221980273985,0.009955423582912678
job_00579,3.4334669173974106,0.005453871118240453
job_00581,3.545292128252183,0.01115977721738859
job_00585,3.3007552801896396,0.02054055170972883
job_00586,3.586689981704964,0.013214681609727183
