function:(p1*x)^1/3,average_MSE:0.07513390737917766
name,p1,MSE
job_00482,5.116890550336481,0.007800175145417964
job_00483,4.95873687141104,0.01575019660857244
job_00484,4.07894560161433,0.0014113904140688708
job_00485,4.952335964655548,0.0503866973389655
job_00486,5.6303009692281,0.025329996510605853
job_00487,5.1065666149142395,0.0037150403699880096
job_00489,6.04046715805073,0.15220509140812832
job_00490,4.748167817283452,0.008021074624061817
job_00492,5.168526697580055,0.029998526756173108
job_00494,4.726109989272366,0.013470765104408233
job_00496,6.916293182425473,0.2759442592602005
job_00498,4.810395401131488,0.004751791455139509
job_00501,5.829174544928532,0.04930263460222738
job_00502,4.79418650949319,0.007954758597852286
job_00511,5.021891011474134,0.18060305325118822
job_00512,4.161680116665288,0.002119122974190894
job_00513,5.928169837001461,0.10993566104727427
job_00514,4.362507756764866,0.016376809764976127
job_00515,4.007959410304298,0.0013939435173282505
job_00517,5.86449320196393,0.13992363384999565
job_00518,6.720981856801023,0.376470978671431
job_00519,4.626798454490253,0.003383684216937141
job_00520,4.505417474099492,0.002984456844270497
job_00521,4.269090939132017,0.0021306335047167634
job_00522,5.667543297052708,0.03849889199057164
job_00523,7.1300882457504065,0.24998471625083352
job_00526,5.258745390429294,0.00404196720087797
job_00531,5.125453456605833,0.03300697579659695
job_00532,5.718785061875648,0.005214868590742415
job_00533,4.73883497953419,0.0420712969919006
job_00534,4.328665531780585,0.00496383845629183
job_00536,4.674363863368991,0.07662997377731368
job_00537,4.596606948066682,0.01684268150207742
job_00538,5.591945950002405,0.008984886039680513
job_00539,4.779989458360538,0.004036823149936097
job_00541,5.059338935011865,0.06833156934867356
job_00542,5.650151205358589,0.06793571071044148
job_00543,4.423425777382984,0.006573314397862404
job_00544,4.61277102975919,0.017993690404692033
job_00545,4.88254622328279,0.023183598642936155
job_00546,8.120453978400501,0.5601092487566625
job_00547,6.308069948064498,0.3758157191843362
job_00548,5.257172054406344,0.045208199495277455
job_00553,6.297848182679951,0.05044441121812781
job_00556,4.018740741484082,0.0017429151559167795
job_00558,4.996155441639827,0.004965877267256468
job_00559,5.411708164410636,0.19262020445560193
job_00560,5.825242452519604,0.029296068537291168
job_00561,5.022024415998289,0.02282203346206851
job_00564,4.833146171136548,0.04282969928456025
job_00566,4.92680591257246,0.028686261453979477
job_00568,5.367243664332403,0.10397494749785767
job_00569,4.79860597671041,0.006134383643524891
job_00573,5.59400518069688,0.007277436608996138
job_00574,4.536474921504489,0.002758180788805688
job_00575,4.306962335203744,0.0206632932789327
job_00576,5.679461234238268,0.01029542707810214
job_00578,4.4207048712650145,0.004799281747221686
job_00579,5.094824754848283,0.02636094042794304
job_00581,5.269201919276044,0.04138161956351003
job_00585,4.88941708008236,0.0029392135507105084
job_00586,5.3354842238346665,0.008939819653480816
job_00587,6.511313854362477,0.0773544199542169
job_00588,4.200733173865649,0.0017339880768680674
job_00590,4.440303284297536,0.002578458479861522
job_00591,4.241271961505203,0.0037277219059443506
job_00593,5.881639448716295,0.12305260681167893
job_00594,6.141105969749365,0.02211046806213626
job_00595,4.164435057418488,0.0011673356265126578
job_00596,5.417473788211088,0.005801475389368741
job_00598,5.792439869444997,0.008241232016689594
job_00599,4.544268829378464,0.002250008093092702
job_00600,5.283137019659164,0.09118390491961015
job_00602,5.5220554859377495,0.09712772903926223
job_00603,4.199521900874601,0.0016829806919110145
job_00607,4.008509057816417,0.010839512715275538
job_00609,4.3728713490276565,0.0017624632884867832
job_00611,4.681816260044939,0.007011754284358128
job_00612,4.382703679569111,0.0015189621515989233
job_00615,6.055254479430109,0.008747557971469205
job_00617,8.387606284512874,0.5829382353979156
job_00618,4.578450470736052,0.00411788879240005
job_00619,5.761772302659685,0.031591965465974925
job_00620,5.8991901628425865,0.01492046241029161
job_00621,4.244210964558556,0.0031670711094799403
job_00622,4.594776504136542,0.006052367734498732
job_00623,5.024303418102169,0.016438673533258178
job_00624,4.669347062402009,0.003113514538465531
job_00626,6.98758810895013,0.11059468794716858
job_00627,4.993964854608521,0.009981222533234437
job_00628,4.687170613750883,0.0030954677812886117
job_00629,5.1809166026824425,0.017666622780825116
job_00630,4.289809184035213,0.028543891952312838
job_00631,5.918145106408535,0.01172642953127079
job_00632,5.104813165859436,0.11803154486454065
job_00633,4.597186121537801,0.0023594828307154764
job_00634,5.022278203713746,0.0365710095353439
job_00635,4.540994521189823,0.0020692036403089035
job_00636,5.080129547495133,0.0715273352177787
job_00637,22.426336245007658,3.848556929219615
job_00639,5.743165104695036,0.13342658853859457
job_00640,4.33823436840474,0.002292411998073695
job_00642,4.6720809680989275,0.010313717078119325
job_00643,4.84713993186905,0.013651557836952872
job_00644,5.206160345925433,0.06810665595321248
job_00645,4.104089822200502,0.002557041913663269
job_00647,6.657633870425945,0.18510145536184783
job_00648,5.1180486134262,0.03465646915841019
job_00649,4.345121161657133,0.007377935022203665
job_00651,4.777287806457808,0.01699938923636216
job_00653,4.607919807415336,0.010998234760334787
job_00655,4.634525738503884,0.005250143049999677
job_00657,4.6877851203150875,0.002516699298034936
job_00658,4.817085909711996,0.004635822165994282
job_00659,4.629820773595345,0.0017212085811558002
job_00660,5.688676505034245,0.018487461969192504
job_00661,4.1845163564417,0.02246832234753672
job_00662,4.472275579987814,0.002439570551459223
job_00663,5.399628653476625,0.007279212737031473
job_00664,4.001661482377944,0.0014075338690176303
job_00667,4.181146981955913,0.0032585653905807524
job_00669,4.504013198740766,0.0074355434202477535
job_00670,4.610750000839163,0.0028111029466474716
job_00671,6.435906517118773,0.04396767107097544
