name,a,b,c,d,e,p,RMS,std_dev_abs_diff,max_abs_difference
job_03143,1.6982172618923697,0.28498244438710096,-6.982391942524473,0.28029101408075335,1.034484225767294,0.6149816581749882,0.047403440618174156,0.030917473345066775,0.5819018861530937
job_03144,-0.8912986733984373,0.9737860366338192,2.912353267435351,1.3564897542158971,0.7638614967722592,0.3780240672059331,0.061984253844208706,0.042462391689707286,0.5674507082373247
job_03145,1.5317880524174479,0.024575647944713667,-220.16594949801,1.0249260645933511,1.6142845594174793,0.778288076501224,0.08931185313226767,0.06042955768430364,1.4604223646091876
job_03146,4.127271055486324,0.15483119985903918,-14.699566638669538,0.021445568082722404,1.5973557399405838,1.2565284005495065,0.11988979360343596,0.08020221965347507,1.7621056187558863
job_03147,1.5083286238801843,0.12931552623773032,-31.268430778678045,0.5517072016770023,1.4354577154882866,0.6630144668629371,0.06309754714456513,0.054374074242075784,1.106290611924293
job_03148,4.838930593307813,0.00044965863610180705,-1144.5980151711249,1.5819336884596678,1.7259517851906225,1.3309996447608519,0.10107139633915034,0.07132238923923431,1.809481557330418
job_03149,4.828761780697495,0.06998224242162478,-36.689922320486176,0.04839306213480863,1.5546790733839069,1.1850581611095232,0.08234554964217504,0.06164576921354599,1.5267566393075438
job_03150,-1.1607212032501368,0.5748446931659771,15.996160541330694,1.2599110371833697,0.7945923942634519,0.4752788913514615,0.04469632473390236,0.030978170529578797,0.297372702986211
job_03151,1.497801830380099,0.17083039205569753,-13.72338913754844,0.19077198547100943,1.3678174358734252,0.7103365200233046,0.04675844450849927,0.03996992356326305,0.9512116643802486
job_03152,1.6491679844244749,-0.12029953554388345,16.28375528003979,-0.16636196396587016,1.2837011149213684,0.7990494683131095,0.037866659152387246,0.032859786530644926,0.8218848140366377
job_03153,1.552827819367098,0.0801326486131866,-51.99734520580298,0.7219110822604394,1.4662612198929865,0.693606347437161,0.09550838149853663,0.059860737104151865,1.0389826731534506
job_03154,1.1151087902382069,0.045642086937385126,-70.7673885483442,1.159341954171067,1.678950212973187,0.7699359854167156,0.16565531837332137,0.09131627099372634,1.4434544071680817
job_03156,5.181636119046778,0.04199953580089697,-46.48879401439683,0.060404616474204774,1.5375361848683813,1.2587249081580498,0.08052425030130853,0.054886749712538735,1.44370595395103
job_03157,4.644653634499424,0.6639580351153318,-5.178675871672074,0.006776814702496825,1.7347992056979087,1.2439208587572261,0.09960684841779427,0.07247822219090945,1.8446438857056389
job_03158,1.8156372297146333,-0.05637256185524928,44.7811613920945,-0.28551860436584015,1.4680595371406604,0.8780413732754205,0.06050242391134921,0.046227827422599246,1.1250676586845862
job_03159,5.422042727124691,0.2665820215958646,-9.531912202468925,0.012802128280450777,2.0978186126413854,1.4136757832992406,0.1279449282544661,0.10145795295199082,2.385461574938076
job_03160,4.750687937592294,0.08186967429279081,-28.013621377074116,0.03808526890975489,1.4913372348637324,1.2247183110804505,0.09002783643272792,0.061531329790493326,1.4536184899329079
job_03161,1.3586745270956484,0.039841684416317774,-129.77220632343477,0.9541959099730374,1.6320920676875101,0.7380797146645208,0.06499559800991636,0.059720009378406866,1.440966584655704
job_03162,4.414427307724898,0.709043549107895,-4.805061388578358,0.006809129098043169,1.9034707923983303,1.2706761423062753,0.13895618484368413,0.09624187311585469,2.1490570347950095
job_03163,6.770484037159333,0.18628805268917703,-20.681153649753426,0.02458871938524527,1.7158040808204866,1.1998911571075588,0.07122648134613044,0.06182197632635031,1.6403875814886901
