name,a,b,p,RMS,std_dev_abs_diff,max_abs_difference
job_01800,1.3496011028682051,0.7720797014165245,0.4039358499325676,0.16992664644666744,0.09880806717406293,1.0650715488652747
job_01801,1.2042799955417773,0.8992056553520472,0.3989873013662879,0.18547051584070734,0.1208616199919339,1.1096966730053528
job_01802,0.4045875919879981,1.1642083486774981,0.3523560788204311,0.07668953817487636,0.052604969357011186,0.6314362582723507
job_01803,1.4258803374240465,0.8002729606942103,0.41746758187338795,0.2841254918882287,0.14672886062883506,1.2035127165173427
job_01804,0.4444606732301623,1.169353482910169,0.3723882086613613,0.14160507930701055,0.0800376789259504,0.7171462752300435
job_01805,0.40182874149393977,1.135430009228102,0.36089401038440955,0.07491944842600265,0.047100664659923776,0.6015837367650929
job_01807,-0.20474294706528778,1.4461468766930623,0.3252543780436378,0.054624272228770226,0.03206654249356058,0.37535779994617524
job_01808,-0.3708206007531354,1.5208037335927294,0.31991506502547723,0.045874576138341235,0.029940726327364463,0.31427840719691646
job_01809,-0.15754287831246,1.399836839324214,0.3266825697719823,0.03246981904412328,0.026675953967968867,0.3583435431529809
job_01810,-0.008160871898169508,1.4069346401355896,0.3332141688407471,0.06620445599996126,0.05146193144887567,0.5367721576302094
job_01812,0.08416776765147581,1.287521836252983,0.33466103419648197,0.048516423963892365,0.0359009768395358,0.455626126910331
job_01813,0.19119904701691406,1.2687662829318243,0.35485192710618774,0.14523157493045039,0.06793759175664785,0.5768614551121831
job_01814,1.0315730253807271,0.8614934871685617,0.39155763628701556,0.0871994259082834,0.06865216532458625,0.8682455674957008
job_01815,-0.1665514775614719,1.451605065473516,0.3375323795581552,0.1375717754152305,0.070749484859465,0.4714701121729581
job_01816,1.1853750320419651,0.7746345459015332,0.4088699873512168,0.08454173747922511,0.06903991041839132,0.9112296898138628
job_01817,-1.0330994314946889,1.8766202287723455,0.3019429875734218,0.0857209830296928,0.0444024482991405,0.5186192027223433
job_01818,1.7411071083139495,0.5671069594220768,0.4398857097998099,0.14136606559685314,0.08979411212466613,1.1731003085077563
job_01819,2.3957625986006112,0.3794581253994208,0.5068143650568567,0.17926554905236367,0.12648376901896907,1.570142145979438
job_01820,-0.5506927360358808,1.695872651938409,0.3161556735977029,0.09113473865944491,0.05360430087912714,0.4281243095277407
job_01822,0.46064236275830833,1.097352765129479,0.35709599017489274,0.08103003950710333,0.048839901993156534,0.5973896948058932
job_01823,1.22422551747463,0.7174370307320691,0.4247840022859386,0.07951839841384478,0.0658608541441807,0.8802878137745933
job_01824,-0.1187547248020316,1.3725538627791354,0.32854655362258744,0.05976964173667009,0.032372104842320254,0.3625576513748958
job_01826,0.21051211062870157,1.2615277162996639,0.35005968706444046,0.07480466290805898,0.04875327679020645,0.5759025764857961
job_01827,-1.9439970585197004,2.4527118675176642,0.2939939301304783,0.12042299191777596,0.06968500301805403,0.8533951910020361
job_01828,1.966652259579589,0.5417755530808196,0.4532887240993133,0.18751018079307322,0.12575654560163793,1.370004253588131
job_01829,0.30507150680326417,1.0575573419599427,0.3749807765644245,0.03241710366189375,0.027204619364160715,0.41336171957009404
job_01830,-0.17337431376012216,1.4228188300042426,0.32733570636085174,0.041349070603631244,0.032938558541619235,0.3770588214825672
job_01831,-0.3599498922789082,1.5445314121935625,0.3313335079397216,0.10761252772401374,0.05835631878419228,0.4143994099052768
job_01832,0.7423318187352621,0.9617767505062645,0.38167191511400117,0.07362055887059044,0.05592810627351643,0.7172085977908524
job_01833,0.48104550975902777,1.1136209691688916,0.356482257786992,0.08770253097236673,0.050404718375281356,0.6407850353098914
job_01834,0.6724531801619366,1.020682588592775,0.36860358550902955,0.0984966186811883,0.06457437731236221,0.7145523397864832
job_01836,1.9397027029081557,0.4624438656339697,0.4708409933277201,0.13869397358249239,0.09167024140127626,1.228296774622402
job_01837,0.8124792772972754,0.89146418110525,0.4050423208995351,0.07870317385840574,0.057675499972994634,0.7155587895336735
job_01838,0.4163752803260251,1.2052281585390625,0.35596907578509723,0.101767349249684,0.07658381273648922,0.7107034137492068
job_01839,0.027749249962376574,1.2875959239628003,0.3328253031205828,0.04886156439238793,0.026717038672062536,0.3956177437321162
job_01840,-0.01143262235889724,1.3295670588410653,0.3395196342907821,0.057025617104349065,0.03810121256323635,0.43118173680525484
job_01841,0.6907901316088116,1.0218820046727923,0.3758023246010835,0.09399683724962356,0.06218253425595598,0.7467918376880389
job_01842,1.1969238021877602,0.7846529337702877,0.3974731855798349,0.0980980493878534,0.0692509176345666,0.9241084601701333
job_01843,-0.003597981223785078,1.3231922128100464,0.3358839566060155,0.08222511483611251,0.04626385536898065,0.4219304594602944
job_01844,1.584414232856899,0.6034817302400528,0.4295519935969452,0.11748847276926741,0.07787337313004342,1.0633085557751734
job_01845,-0.4255849429728532,1.585095637407133,0.32036520510883976,0.05551651405309116,0.037605022440203126,0.39053188091974356
job_01847,1.161753468235822,0.758485055435838,0.41487429707022505,0.09288907831363762,0.06555509732488671,0.8699474607507354
job_01849,-0.23959058621646104,1.4605988893377626,0.32504647295182204,0.04226585841488993,0.035091375626269516,0.3644087224836845
job_01850,0.5093235024066597,1.073946267650516,0.3694424288880618,0.11023432088077707,0.05555194625368749,0.6329817180914659
